시군명,분리배출장소,배출함명칭,주소,상세주소,배출요일 및 시간,배출품목,,,,,,,,,,,,,,,배출품목,
, , , , , ,일반쓰레기,종이,종이팩,금속캔,고철,플라스틱,무색페트병,유리병,비닐,스티로폼,건전지,형광등,소형전자제품,식용유,의류,담당부서,
광명시,재활용품 분리배출함,수거대,경기도 광명시 하안동 229,,상시,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , , ,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,경기도 광명시 소하동 1383,,상시,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , , ,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,경기도 광명시 일직동 505-20,,상시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , ,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,경기도 광명시 일직동 505-11,,상시,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , ,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,경기도 광명시 가학동 554,,상시,Y,Y,Y,Y,Y,Y,Y,Y,Y, , , , , , ,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,광명시 광복로 51,광명1동 행정복지센터,상시,,,,Y,,Y,Y,Y,Y,,,,,,,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,광명시 광명로 947,광명2동 행정복지센터,상시,,,,Y,,Y,Y,Y,Y,,,,,,,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,광명시 광명로 928번길 18-20,광명3동 행정복지센터,상시,,,,Y,,Y,Y,Y,Y,,,,,,,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,광명시 오리로935번안길 35-2,,상시,,,,Y,,Y,Y,Y,Y,,,,,,,자원순환과,02-2680-2836
광명시,재활용품 분리배출함,수거대,광명시 오리로949번안길 7-1,,상시,,,,Y,,Y,Y,Y,Y,,,,,,,자원순환과,02-2680-2836
